piRNA,disease,score
miR-149,Anastrozole,0
miR-149,Cytarabine,0
miR-149,Rituximab,0
miR-149,Retinoic Acid,0
miR-149,Mafosfamide,0
miR-149,Paroxetine,0
miR-149,Fludarabine,0
miR-149,Prednisone,0
miR-149,Vinorelbine,0
miR-149,Cyclosporin A,0
miR-149,Colchicine,0
miR-149,Lorlatinib,0
miR-149,Crizotinib,0
miR-149,Letrozole,0
miR-149,Sunitinib,0
miR-149,Platinum,0
miR-149,Levetiracetam,0
miR-149,Valproate,0
miR-149,Ribavirin,0
miR-149,pegIFN/RBV therapy,0
miR-149,Dichloroacetate,0
miR-149,Cyclopamine,0
miR-149,Interferon-alpha,0
miR-149,Mitomycin C,0
miR-149,Pertuzumab,0
miR-149,Arsenic trioxide,0
miR-149,Irinotecan,0
miR-149,Selumetinib,0
miR-149,Staurosporine,0
miR-149,Topotecan,0
miR-149*,Tamoxifen,0
miR-149*,Fluorouracil,0
miR-149*,Ribavirin,0
miR-149*,Prednisolone,0
miR-149*,Lorlatinib,0
miR-149*,Crizotinib,0
miR-149*,Vemurafenib,0
miR-149*,Fluoropyrimidine,0
miR-149*,FOLFOX Chemotherapy,0
miR-149*,10-Hydroxycamptothecin,0
miR-149*,L-asparaginase,0
miR-149*,Vinblastine,0
miR-149*,Daunorubicin,0
miR-149*,5-Fluorouracil,0
miR-149*,platinum-based doublet chemotherapy ,0
miR-149*,PLX4720,0
miR-149*,Capecitabine,0
miR-149*,Epirubicin,0
miR-149*,Colchicine,0
miR-149*,Cyclosporin A,0
miR-149*,Vinorelbine,0
miR-149*,Prednisone,0
miR-149*,Paroxetine,0
miR-149*,Cyclophosphamide,0
miR-149*,Mafosfamide,0
miR-149*,Retinoic Acid,0
miR-149*,Rituximab,0
miR-149*,Cytarabine,0
miR-149*,Anastrozole,0
miR-149*,Exemestane,0
miR-149*,Letrozole,0
miR-149*,Sunitinib,0
miR-149*,Platinum,0
miR-149*,Levetiracetam,0
miR-149*,Valproate,0
miR-149*,Interferon-gamma,0
miR-149*,Camptothecin,0
miR-149*,Paclitaxel,0
miR-149*,Vincristine,0
miR-149*,Temsirolimus,0
miR-149*,Sirolimus,0
miR-149*,Rapamycin,0
miR-149*,Nutlin-3a,0
miR-149*,Mitoxantrone,0
miR-149*,Etoposide,0
miR-149*,Adriamycin,0
miR-149*,PCI-24781,0
miR-149*,Docetaxel,0
miR-149*,Tetraplatin,0
miR-149*,Carboplatin,0
miR-149*,Oxaliplatin,0
miR-149*,Antioestrogens,0
miR-149*,Propofol,0
miR-149*,"1,25(OH)2D3",0
miR-149*,Methotrexate,0
miR-149*,Pirarubicin,0
miR-149*,epirubicin,0
miR-149*,Chemotherapy,0
miR-149*,TRAIL therapy,0
miR-149*,Glucocorticoid,0
miR-149*,Sorafenib,0
miR-149*,Melphalan,0
miR-149*,Oxymatrine,0
miR-149*,Temozolomide,0
miR-149*,Cetuximab,0
miR-149*,Taxol,0
miR-149*,Dexamethasone,0
miR-149*,Ibrutinib,0
miR-149*,Erlotinib,0
miR-149*,Curcumin,0
miR-146b-5p,Euthyrox,0
miR-146b-5p,Leucovorin,0
miR-146b-5p,Fulvestrant,0
miR-1469,Melphalan,0
miR-1469,Ibrutinib,0
miR-1469,Dexamethasone,0
miR-1469,Taxol,0
miR-1469,Cetuximab,0
miR-1469,Temozolomide,0
miR-1469,Oxymatrine,0
miR-1469,Sorafenib,0
miR-1469,Curcumin,0
miR-1469,Glucocorticoid,0
miR-1469,TRAIL therapy,0
miR-1469,Chemotherapy,0
miR-1469,epirubicin,0
miR-1469,Pirarubicin,0
miR-1469,Methotrexate,0
miR-1469,Erlotinib,0
miR-1469,PCI-24781,0
miR-146a,Etoposide,0
miR-1469,L-asparaginase,0
miR-1469,Crizotinib,0
miR-1469,Vemurafenib,0
miR-1469,Fluoropyrimidine,0
miR-1469,FOLFOX Chemotherapy,0
miR-1469,10-Hydroxycamptothecin,0
miR-1469,Prednisolone,0
miR-1469,Daunorubicin,0
miR-1469,Camptothecin,0
miR-1469,platinum-based doublet chemotherapy ,0
miR-1469,PLX4720,0
miR-1469,Capecitabine,0
miR-1469,Epirubicin,0
miR-1469,Interferon-gamma,0
miR-1469,Vinblastine,0
miR-1469,"1,25(OH)2D3",0
miR-1469,Temsirolimus,0
miR-1469,Sirolimus,0
miR-1468,Hydroxyurea,0
miR-1469,Imatinib,0
miR-1469,Dasatinib,0
miR-1469,Cisplatin,0
miR-1468,AED therapy,0
miR-1468,chemotherapy,0
miR-1468,Ethanol,0
miR-1468,5-fluorouracil,0
miR-1469,Rapamycin,0
miR-1468,modified ALLIC BFM 2002 protocol,0
miR-1468,DAPT,0
miR-1468,Dihydrotestosterone,0
miR-1468,AGRO100,0
miR-1468,10-hydroxycamptothecin,0
miR-1468,Pemetrexed,0
miR-1469,Nilotinib,0
miR-1469,Gefitinib,0
miR-1469,Tamoxifen,0
miR-1469,Trastuzumab,0
miR-1469,Fluorouracil,0
miR-1469,Paclitaxel,0
miR-1469,Propofol,0
miR-1469,Antioestrogens,0
miR-1469,Oxaliplatin,0
miR-1469,Carboplatin,0
miR-1469,Tetraplatin,0
miR-1469,Docetaxel,0
miR-1469,Adriamycin,0
miR-1469,Vincristine,0
miR-1469,Etoposide,0
miR-1469,Mitoxantrone,0
miR-1469,Nutlin-3a,0
miR-1469,Lorlatinib,0
miR-1469,Colchicine,0
miR-1469,Cyclosporin A,0
miR-1469,Raltitrexed,0
miR-1469,Dihydrotestosterone,0
miR-1469,AGRO100,0
miR-1469,10-hydroxycamptothecin,0
miR-1469,Pemetrexed,0
miR-1469,Lapatinib,0
miR-1469,Tomudex,0
miR-1469,Pingyangmycin,0
miR-1469,Leucovorin,0
miR-1469,Hydrogen Peroxide,0
miR-1469,Dibenziodolium,0
miR-1469,Carmustine,0
miR-1469,Betulinic acid,0
miR-1469,Arsenic Trioxide,0
miR-1469,Teniposide,0
miR-1469,DAPT,0
miR-1469,modified ALLIC BFM 2002 protocol,0
miR-1469,5-fluorouracil,0
miR-1469,Hydroxyurea,0
miR-1469,Ethanol,0
miR-1469,chemotherapy,0
miR-1469,AED therapy,0
miR-146a,Dasatinib,0
miR-146a,Imatinib,0
miR-146a,Nilotinib,0
miR-146a,Gefitinib,0
miR-146a,Tamoxifen,0
miR-146a,Trastuzumab,0
miR-146a,Fluorouracil,0
miR-146a,Propofol,0
miR-146a,Antioestrogens,0
miR-146a,Oxaliplatin,0
miR-1469,Euthyrox,0
miR-1469,Fulvestrant,0
miR-1469,Vinorelbine,0
miR-1469,Anastrozole,0
miR-1469,Valproate,0
miR-1469,Levetiracetam,0
miR-1469,Platinum,0
miR-1469,Sunitinib,0
miR-1469,Letrozole,0
miR-1469,Exemestane,0
miR-1469,Cytarabine,0
miR-1469,Epirubicin hydrochloride,0
miR-1469,Rituximab,0
miR-1469,Retinoic Acid,0
miR-1469,Mafosfamide,0
miR-1469,Cyclophosphamide,0
miR-1469,Paroxetine,0
miR-1469,Prednisone,0
miR-1469,Ribavirin,0
miR-1469,pegIFN/RBV therapy,0
miR-1469,Dichloroacetate,0
miR-1469,Cyclopamine,0
miR-1469,Interferon-alpha,0
miR-1469,Mitomycin C,0
miR-1469,Pertuzumab,0
miR-1469,Arsenic trioxide,0
miR-1469,Irinotecan,0
miR-1469,Selumetinib,0
miR-1469,Staurosporine,0
miR-1469,Topotecan,0
miR-1469,Fludarabine,0
miR-1469,histone deacetylase inhibitor,0
miR-1469,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-1469,Epirubicin HCl,0
miR-1469,SIOP treatment protocol,0
miR-1468,Lapatinib,0
miR-1468,Tomudex,0
miR-1468,Raltitrexed,0
miR-1468,Propofol,0
miR-1468,Vincristine,0
miR-1468,Adriamycin,0
miR-1468,Docetaxel,0
miR-1468,Tetraplatin,0
miR-1468,Carboplatin,0
miR-1468,Antioestrogens,0
miR-1468,Fluorouracil,0
miR-145,AED therapy,0
miR-1468,Trastuzumab,0
miR-1468,Tamoxifen,0
miR-1468,Gefitinib,0
miR-1468,Nilotinib,0
miR-1468,Imatinib,0
miR-1468,Dasatinib,0
miR-1468,Etoposide,0
miR-1468,Mitoxantrone,0
miR-1468,Nutlin-3a,0
miR-1468,Rapamycin,0
miR-1468,Sirolimus,0
miR-1468,Temsirolimus,0
miR-1468,"1,25(OH)2D3",0
miR-1468,Bortezomib,0
miR-1468,Methotrexate,0
miR-1468,Pirarubicin,0
miR-1468,Verapamil,0
miR-1468,epirubicin,0
miR-1468,Chemotherapy,0
miR-1468,TRAIL therapy,0
miR-1468,Glucocorticoid,0
miR-1468,Sorafenib,0
miR-1468,Melphalan,0
miR-1468,Cisplatin,0
miR-145,chemotherapy,0
miR-1468,Temozolomide,0
miR-145,Epirubicin HCl,0
miR-145,Teniposide,0
miR-145,Euthyrox,0
miR-145,Leucovorin,0
miR-145,Fulvestrant,0
miR-145,Epirubicin hydrochloride,0
miR-145,SIOP treatment protocol,0
miR-145,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-145,Ethanol,0
miR-145,histone deacetylase inhibitor,0
miR-145,Fludarabine,0
miR-145,Topotecan,0
miR-145,Staurosporine,0
miR-145,Selumetinib,0
miR-145,Irinotecan,0
miR-145,Arsenic Trioxide,0
miR-145,Betulinic acid,0
miR-145,Carmustine,0
miR-145,Dibenziodolium,0
miR-145,Hydrogen Peroxide,0
miR-145,Pingyangmycin,0
miR-145,Raltitrexed,0
miR-145,Tomudex,0
miR-145,Lapatinib,0
miR-145,Pemetrexed,0
miR-145,10-hydroxycamptothecin,0
miR-145,AGRO100,0
miR-145,Dihydrotestosterone,0
miR-145,DAPT,0
miR-145,modified ALLIC BFM 2002 protocol,0
miR-145,5-fluorouracil,0
miR-145,Hydroxyurea,0
miR-1468,Oxymatrine,0
miR-1468,Cetuximab,0
miR-1468,Pingyangmycin,0
miR-1468,Cyclopamine,0
miR-1468,Selumetinib,0
miR-1468,Irinotecan,0
miR-1468,Arsenic trioxide,0
miR-1468,Pertuzumab,0
miR-1468,Mitomycin C,0
miR-1468,Interferon-alpha,0
miR-1468,Dichloroacetate,0
miR-1468,Exemestane,0
miR-1468,pegIFN/RBV therapy,0
miR-1468,Ribavirin,0
miR-1468,Valproate,0
miR-1468,Levetiracetam,0
miR-1468,Platinum,0
miR-1468,Sunitinib,0
miR-1468,Staurosporine,0
miR-1468,Topotecan,0
miR-1468,Fludarabine,0
miR-1468,histone deacetylase inhibitor,0
miR-1468,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-1468,Epirubicin HCl,0
miR-1468,SIOP treatment protocol,0
miR-1468,Epirubicin hydrochloride,0
miR-1468,Fulvestrant,0
miR-1468,Leucovorin,0
miR-1468,Euthyrox,0
miR-1468,Teniposide,0
miR-1468,Arsenic Trioxide,0
miR-1468,Betulinic acid,0
miR-1468,Carmustine,0
miR-1468,Dibenziodolium,0
miR-1468,Hydrogen Peroxide,0
miR-1468,Letrozole,0
miR-1468,Anastrozole,0
miR-1468,Taxol,0
miR-1468,Interferon-gamma,0
miR-1468,Daunorubicin,0
miR-1468,5-Fluorouracil,0
miR-1468,platinum-based doublet chemotherapy ,0
miR-1468,PLX4720,0
miR-1468,Capecitabine,0
miR-1468,Epirubicin,0
miR-1468,Vinblastine,0
miR-1468,Cytarabine,0
miR-1468,Camptothecin,0
miR-1468,PCI-24781,0
miR-1468,Curcumin,0
miR-1468,Erlotinib,0
miR-1468,Ibrutinib,0
miR-1468,Dexamethasone,0
miR-1468,L-asparaginase,0
miR-1468,Prednisolone,0
miR-1468,10-Hydroxycamptothecin,0
miR-1468,FOLFOX Chemotherapy,0
miR-1468,Fluoropyrimidine,0
miR-1468,Vemurafenib,0
miR-1468,Crizotinib,0
miR-1468,Lorlatinib,0
miR-1468,Colchicine,0
miR-1468,Cyclosporin A,0
miR-1468,Vinorelbine,0
miR-1468,Prednisone,0
miR-1468,Paroxetine,0
miR-1468,Cyclophosphamide,0
miR-1468,Mafosfamide,0
miR-1468,Retinoic Acid,0
miR-1468,Rituximab,0
miR-146a,Tetraplatin,0
miR-146a,Mitoxantrone,0
miR-146b-5p,Epirubicin hydrochloride,0
miR-146b,AGRO100,0
miR-146b,Ethanol,0
miR-146b,Hydroxyurea,0
miR-146b,5-fluorouracil,0
miR-146b,modified ALLIC BFM 2002 protocol,0
miR-146b,DAPT,0
miR-146b,Dihydrotestosterone,0
miR-146b,10-hydroxycamptothecin,0
miR-146b,AED therapy,0
miR-146b,Pemetrexed,0
miR-146b,Lapatinib,0
miR-146b,Tomudex,0
miR-146b,Raltitrexed,0
miR-146b,Pingyangmycin,0
miR-146b,Hydrogen Peroxide,0
miR-146b,chemotherapy,0
miR-146b-5p,Gemcitabine,0
miR-146a,Nutlin-3a,0
miR-146b-5p,Propofol,0
miR-146b-5p,Mitoxantrone,0
miR-146b-5p,Etoposide,0
miR-146b-5p,Docetaxel,0
miR-146b-5p,Tetraplatin,0
miR-146b-5p,Oxaliplatin,0
miR-146b-5p,Antioestrogens,0
miR-146b-5p,Paclitaxel,0
miR-146b-5p,Dasatinib,0
miR-146b-5p,Fluorouracil,0
miR-146b-5p,Trastuzumab,0
miR-146b-5p,Tamoxifen,0
miR-146b-5p,Gefitinib,0
miR-146b-5p,Nilotinib,0
miR-146b-5p,Imatinib,0
miR-146b,Dibenziodolium,0
miR-146b,Carmustine,0
miR-146b,Betulinic acid,0
miR-146b,Sunitinib,0
miR-146b,Dichloroacetate,0
miR-146b,pegIFN/RBV therapy,0
miR-146b,Ribavirin,0
miR-146b,Valproate,0
miR-146b,Levetiracetam,0
miR-146b,Platinum,0
miR-146b,Letrozole,0
miR-146b,Arsenic Trioxide,0
miR-146b,Exemestane,0
miR-146b,Anastrozole,0
miR-146b,Rituximab,0
miR-146b,Retinoic Acid,0
miR-146b,Mafosfamide,0
miR-146b,Paroxetine,0
miR-146b,Cyclopamine,0
miR-146b,Pertuzumab,0
miR-146b,Arsenic trioxide,0
miR-146b,Irinotecan,0
miR-146b,Selumetinib,0
miR-146b,Staurosporine,0
miR-146b,Topotecan,0
miR-146b,Fludarabine,0
miR-146b,histone deacetylase inhibitor,0
miR-146b,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-146b,Epirubicin HCl,0
miR-146b,SIOP treatment protocol,0
miR-146b,Epirubicin hydrochloride,0
miR-146b,Fulvestrant,0
miR-146b,Leucovorin,0
miR-146b,Euthyrox,0
miR-146b,Teniposide,0
miR-146b-5p,Nutlin-3a,0
miR-146b-5p,Rapamycin,0
miR-146b-5p,Sirolimus,0
miR-146b-5p,Rituximab,0
miR-146b-5p,Levetiracetam,0
miR-146b-5p,Platinum,0
miR-146b-5p,Sunitinib,0
miR-146b-5p,Letrozole,0
miR-146b-5p,Exemestane,0
miR-146b-5p,Anastrozole,0
miR-146b-5p,Retinoic Acid,0
miR-146b-5p,Lorlatinib,0
miR-146b-5p,Mafosfamide,0
miR-146b-5p,Cyclophosphamide,0
miR-146b-5p,Paroxetine,0
miR-146b-5p,Prednisone,0
miR-146b-5p,Vinorelbine,0
miR-146b-5p,Cyclosporin A,0
miR-146b-5p,Valproate,0
miR-146b-5p,Ribavirin,0
miR-146b-5p,pegIFN/RBV therapy,0
miR-146b-5p,Dichloroacetate,0
miR-146b-5p,Cyclopamine,0
miR-146b-5p,Interferon-alpha,0
miR-146b-5p,Pertuzumab,0
miR-146b-5p,Arsenic trioxide,0
miR-146b-5p,Irinotecan,0
miR-146b-5p,Selumetinib,0
miR-146b-5p,Staurosporine,0
miR-146b-5p,Topotecan,0
miR-146b-5p,Fludarabine,0
miR-146b-5p,histone deacetylase inhibitor,0
miR-146b-5p,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-146b-5p,Epirubicin HCl,0
miR-146b-5p,SIOP treatment protocol,0
miR-146b-5p,Colchicine,0
miR-146b-5p,Crizotinib,0
miR-146b-5p,Temsirolimus,0
miR-146b-5p,Sorafenib,0
miR-146b-5p,Dexamethasone,0
miR-146b-5p,Taxol,0
miR-146b-5p,Cetuximab,0
miR-146b-5p,Temozolomide,0
miR-146b-5p,Oxymatrine,0
miR-146b-5p,Melphalan,0
miR-146b-5p,Glucocorticoid,0
miR-146b-5p,Vemurafenib,0
miR-146b-5p,TRAIL therapy,0
miR-146b-5p,epirubicin,0
miR-146b-5p,Verapamil,0
miR-146b-5p,Pirarubicin,0
miR-146b-5p,Bortezomib,0
miR-146b-5p,"1,25(OH)2D3",0
miR-146b-5p,Ibrutinib,0
miR-146b-5p,Erlotinib,0
miR-146b-5p,Curcumin,0
miR-146b-5p,PCI-24781,0
miR-146b-5p,Camptothecin,0
miR-146b-5p,Vinblastine,0
miR-146b-5p,Interferon-gamma,0
miR-146b-5p,Epirubicin,0
miR-146b-5p,Capecitabine,0
miR-146b-5p,platinum-based doublet chemotherapy ,0
miR-146b-5p,5-Fluorouracil,0
miR-146b-5p,Daunorubicin,0
miR-146b-5p,L-asparaginase,0
miR-146b-5p,Prednisolone,0
miR-146b-5p,10-Hydroxycamptothecin,0
miR-146b-5p,FOLFOX Chemotherapy,0
miR-146b-5p,Fluoropyrimidine,0
miR-146b,Vinorelbine,0
miR-146b,Cyclosporin A,0
miR-146b,Colchicine,0
miR-146a,Anastrozole,0
miR-146a,Valproate,0
miR-146a,Levetiracetam,0
miR-146a,Platinum,0
miR-146a,Sunitinib,0
miR-146a,Letrozole,0
miR-146a,Exemestane,0
miR-146a,Retinoic Acid,0
miR-146a,Lorlatinib,0
miR-146a,Mafosfamide,0
miR-146a,Cyclophosphamide,0
miR-146a,Paroxetine,0
miR-146a,Prednisone,0
miR-146a,Vinorelbine,0
miR-146a,Cyclosporin A,0
miR-146a,Ribavirin,0
miR-146a,pegIFN/RBV therapy,0
miR-146a,Dichloroacetate,0
miR-146a,Pertuzumab,0
miR-146a,Arsenic trioxide,0
miR-146a,Irinotecan,0
miR-146a,Selumetinib,0
miR-146a,Staurosporine,0
miR-146a,Topotecan,0
miR-146a,Fludarabine,0
miR-146a,histone deacetylase inhibitor,0
miR-146a,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-146a,Epirubicin HCl,0
miR-146a,SIOP treatment protocol,0
miR-146a,Epirubicin hydrochloride,0
miR-146a,Fulvestrant,0
miR-146a,Leucovorin,0
miR-146a,Colchicine,0
miR-146a,Crizotinib,0
miR-146a,Teniposide,0
miR-146a,epirubicin,0
miR-146a,Temozolomide,0
miR-146a,Oxymatrine,0
miR-146a,Melphalan,0
miR-146a,Glucocorticoid,0
miR-146a,TRAIL therapy,0
miR-146a,Chemotherapy,0
miR-146a,Pirarubicin,0
miR-146a,Vemurafenib,0
miR-146a,Methotrexate,0
miR-146a,Bortezomib,0
miR-146a,"1,25(OH)2D3",0
miR-146a,Temsirolimus,0
miR-146a,Sirolimus,0
miR-146a,Rapamycin,0
miR-146a,Cetuximab,0
miR-146a,Taxol,0
miR-146a,Dexamethasone,0
miR-146a,Ibrutinib,0
miR-146a,Erlotinib,0
miR-146a,Curcumin,0
miR-146a,PCI-24781,0
miR-146a,Camptothecin,0
miR-146a,Vinblastine,0
miR-146a,Interferon-gamma,0
miR-146a,Epirubicin,0
miR-146a,platinum-based doublet chemotherapy ,0
miR-146a,Daunorubicin,0
miR-146a,L-asparaginase,0
miR-146a,Prednisolone,0
miR-146a,10-Hydroxycamptothecin,0
miR-146a,Fluoropyrimidine,0
miR-146a,Euthyrox,0
miR-146a,Arsenic Trioxide,0
miR-146b,Lorlatinib,0
miR-146b,Melphalan,0
miR-146b,Erlotinib,0
miR-146b,Ibrutinib,0
miR-146b,Taxol,0
miR-146b,Cetuximab,0
miR-146b,Temozolomide,0
miR-146b,Oxymatrine,0
miR-146b,Glucocorticoid,0
miR-146b,Temsirolimus,0
miR-146b,TRAIL therapy,0
miR-146b,Chemotherapy,0
miR-146b,epirubicin,0
miR-146b,Pirarubicin,0
miR-146b,Methotrexate,0
miR-146b,Bortezomib,0
miR-146b,Curcumin,0
miR-146b,PCI-24781,0
miR-146b,Camptothecin,0
miR-146b,Vinblastine,0
miR-146b,Interferon-gamma,0
miR-146b,Epirubicin,0
miR-146b,Capecitabine,0
miR-146b,PLX4720,0
miR-146b,platinum-based doublet chemotherapy ,0
miR-146b,Daunorubicin,0
miR-146b,L-asparaginase,0
miR-146b,Prednisolone,0
miR-146b,10-Hydroxycamptothecin,0
miR-146b,FOLFOX Chemotherapy,0
miR-146b,Fluoropyrimidine,0
miR-146b,Vemurafenib,0
miR-146b,Crizotinib,0
miR-146b,"1,25(OH)2D3",0
miR-146b,Sirolimus,0
miR-146a,Betulinic acid,0
miR-146a,Pemetrexed,0
miR-146a,5-fluorouracil,0
miR-146a,modified ALLIC BFM 2002 protocol,0
miR-146a,DAPT,0
miR-146a,Dihydrotestosterone,0
miR-146a,AGRO100,0
miR-146a,10-hydroxycamptothecin,0
miR-146a,Lapatinib,0
miR-146b,Rapamycin,0
miR-146a,Tomudex,0
miR-146a,Raltitrexed,0
miR-146a,Pingyangmycin,0
miR-146a,Hydrogen Peroxide,0
miR-146a,Dibenziodolium,0
miR-146a,Carmustine,0
miR-146a,Hydroxyurea,0
miR-146a,Ethanol,0
miR-146a,chemotherapy,0
miR-146a,AED therapy,0
miR-146b,Dasatinib,0
miR-146b,Nilotinib,0
miR-146b,Gefitinib,0
miR-146b,Tamoxifen,0
miR-146b,Trastuzumab,0
miR-146b,Fluorouracil,0
miR-146b,Antioestrogens,0
miR-146b,Oxaliplatin,0
miR-146b,Tetraplatin,0
miR-146b,Adriamycin,0
miR-146b,Etoposide,0
miR-146b,Mitoxantrone,0
miR-146b,Nutlin-3a,0
miR-126*,Taxol,0
miR-126*,Oxymatrine,0
miR-181d,Glucocorticoid,0
TUG1,Nilotinib,0
TUG1,Paclitaxel,0
TUG1,Fluorouracil,0
TUG1,Trastuzumab,0
TUG1,Tamoxifen,0
TUG1,Gefitinib,0
TUG1,Doxorubicin,0
TUG1,Imatinib,0
TUG1,Antioestrogens,0
TUG1,Dasatinib,0
SNHG5,AED therapy,0
SNHG5,chemotherapy,0
SNHG5,Ethanol,0
SNHG5,Hydroxyurea,0
SNHG5,5-fluorouracil,0
TUG1,Propofol,0
TUG1,Tetraplatin,0
SNHG5,Ribavirin,0
TUG1,"1,25(OH)2D3",0
TUG1,Chemotherapy,0
TUG1,epirubicin,0
TUG1,Verapamil,0
TUG1,Pirarubicin,0
TUG1,Methotrexate,0
TUG1,Bortezomib,0
TUG1,Temsirolimus,0
TUG1,Docetaxel,0
TUG1,Sirolimus,0
TUG1,Rapamycin,0
TUG1,Nutlin-3a,0
TUG1,Mitoxantrone,0
TUG1,Etoposide,0
TUG1,Vincristine,0
SNHG5,modified ALLIC BFM 2002 protocol,0
SNHG5,DAPT,0
SNHG5,Dihydrotestosterone,0
SNHG5,Selumetinib,0
SNHG5,Epirubicin HCl,0
SNHG5,intensive induction chemotherapy based on cytarabine and idarubicine,0
SNHG5,histone deacetylase inhibitor,0
SNHG5,Fludarabine,0
SNHG5,Topotecan,0
SNHG5,Staurosporine,0
SNHG5,Irinotecan,0
SNHG5,AGRO100,0
SNHG5,Arsenic trioxide,0
SNHG5,Pertuzumab,0
SNHG5,Mitomycin C,0
SNHG5,Interferon-alpha,0
SNHG5,Cyclopamine,0
SNHG5,Dichloroacetate,0
SNHG5,SIOP treatment protocol,0
SNHG5,Epirubicin hydrochloride,0
SNHG5,Fulvestrant,0
SNHG5,Leucovorin,0
SNHG5,Euthyrox,0
SNHG5,Teniposide,0
SNHG5,Arsenic Trioxide,0
SNHG5,Betulinic acid,0
SNHG5,Carmustine,0
SNHG5,Dibenziodolium,0
SNHG5,Hydrogen Peroxide,0
SNHG5,Pingyangmycin,0
SNHG5,Raltitrexed,0
SNHG5,Tomudex,0
SNHG5,Lapatinib,0
SNHG5,Pemetrexed,0
SNHG5,10-hydroxycamptothecin,0
TUG1,TRAIL therapy,0
TUG1,Glucocorticoid,0
TUG1,Sorafenib,0
TUG1,Valproate,0
TUG1,Mitomycin C,0
TUG1,Interferon-alpha,0
TUG1,Cyclopamine,0
TUG1,Dichloroacetate,0
TUG1,pegIFN/RBV therapy,0
TUG1,Ribavirin,0
TUG1,Levetiracetam,0
TUG1,Retinoic Acid,0
TUG1,Platinum,0
TUG1,Sunitinib,0
TUG1,Letrozole,0
TUG1,Exemestane,0
TUG1,Anastrozole,0
TUG1,Cytarabine,0
TUG1,Pertuzumab,0
TUG1,Arsenic trioxide,0
TUG1,Irinotecan,0
TUG1,Selumetinib,0
TUG1,Staurosporine,0
TUG1,Topotecan,0
TUG1,Fludarabine,0
TUG1,histone deacetylase inhibitor,0
TUG1,intensive induction chemotherapy based on cytarabine and idarubicine,0
TUG1,Epirubicin HCl,0
TUG1,SIOP treatment protocol,0
TUG1,Epirubicin hydrochloride,0
TUG1,Fulvestrant,0
TUG1,Leucovorin,0
TUG1,Euthyrox,0
TUG1,Teniposide,0
TUG1,Arsenic Trioxide,0
TUG1,Rituximab,0
TUG1,Mafosfamide,0
TUG1,Melphalan,0
TUG1,Curcumin,0
TUG1,Capecitabine,0
TUG1,Epirubicin,0
TUG1,Interferon-gamma,0
TUG1,Vinblastine,0
TUG1,Camptothecin,0
TUG1,PCI-24781,0
TUG1,Erlotinib,0
TUG1,Cyclophosphamide,0
TUG1,Ibrutinib,0
TUG1,Dexamethasone,0
TUG1,Taxol,0
TUG1,Cetuximab,0
TUG1,Temozolomide,0
TUG1,Oxymatrine,0
TUG1,PLX4720,0
TUG1,platinum-based doublet chemotherapy ,0
TUG1,5-Fluorouracil,0
TUG1,Daunorubicin,0
TUG1,L-asparaginase,0
TUG1,Prednisolone,0
TUG1,10-Hydroxycamptothecin,0
TUG1,FOLFOX Chemotherapy,0
TUG1,Fluoropyrimidine,0
TUG1,Vemurafenib,0
TUG1,Crizotinib,0
TUG1,Lorlatinib,0
TUG1,Colchicine,0
TUG1,Cyclosporin A,0
TUG1,Vinorelbine,0
TUG1,Prednisone,0
TUG1,Paroxetine,0
SNHG5,pegIFN/RBV therapy,0
SNHG5,Valproate,0
SLC25A25-AS1,Prednisolone,0
SLC25A25-AS1,Euthyrox,0
SLC25A25-AS1,Hydrogen Peroxide,0
SLC25A25-AS1,Dibenziodolium,0
SLC25A25-AS1,Carmustine,0
SLC25A25-AS1,Betulinic acid,0
SLC25A25-AS1,Arsenic Trioxide,0
SLC25A25-AS1,Teniposide,0
SLC25A25-AS1,Leucovorin,0
SLC25A25-AS1,Raltitrexed,0
SLC25A25-AS1,Fulvestrant,0
SLC25A25-AS1,Epirubicin hydrochloride,0
SLC25A25-AS1,SIOP treatment protocol,0
SLC25A25-AS1,Epirubicin HCl,0
SLC25A25-AS1,intensive induction chemotherapy based on cytarabine and idarubicine,0
SLC25A25-AS1,histone deacetylase inhibitor,0
SLC25A25-AS1,Pingyangmycin,0
SLC25A25-AS1,Tomudex,0
SNHG5,Levetiracetam,0
SLC25A25-AS1,Hydroxyurea,0
SNHG5,Nilotinib,0
SNHG5,Dasatinib,0
SNHG5,Gemcitabine,0
SLC25A25-AS1,AED therapy,0
SLC25A25-AS1,chemotherapy,0
SLC25A25-AS1,Ethanol,0
SLC25A25-AS1,5-fluorouracil,0
SLC25A25-AS1,Lapatinib,0
SLC25A25-AS1,modified ALLIC BFM 2002 protocol,0
SLC25A25-AS1,DAPT,0
SLC25A25-AS1,Dihydrotestosterone,0
SLC25A25-AS1,AGRO100,0
SLC25A25-AS1,10-hydroxycamptothecin,0
SLC25A25-AS1,Pemetrexed,0
SLC25A25-AS1,Fludarabine,0
SLC25A25-AS1,Topotecan,0
SLC25A25-AS1,Staurosporine,0
SLC25A25-AS1,Vinorelbine,0
SLC25A25-AS1,Rituximab,0
